id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1374521859706785795	1374521853079810052	2021-03-24 02:42:03 	2021-03-24	02:42:03	+0200	17061263	netanyahu	Benjamin Netanyahu		בימים הקרובים לא אחסוך שום מאמץ בדיבור עם כל חברות וחברי הכנסת כדי להביא לישראל ממשלה יציבה. זה מה שאזרחי ישראל מצפים איתנו לעשות. למנוע בחירות חמישיות ולהקים ממשלה טובה ויציבה לישראל.	iw	[]	[]	[]	31	33	641	[]	[]	https://twitter.com/netanyahu/status/1374521859706785795	False		0								[]				
1374521858222026754	1374521853079810052	2021-03-24 02:42:03 	2021-03-24	02:42:03	+0200	17061263	netanyahu	Benjamin Netanyahu		שוחחתי הערב עם כל חברי הימין ואמרתי להם בואו נעשה את המעשה האחראי ונקים ממשלה יציבה, ממשלה שתדאג לכל אזרחי ישראל	iw	[]	[]	[]	17	33	592	[]	[]	https://twitter.com/netanyahu/status/1374521858222026754	False		0								[]				
1374521856565207044	1374521853079810052	2021-03-24 02:42:02 	2021-03-24	02:42:02	+0200	17061263	netanyahu	Benjamin Netanyahu		השעה מחייבת זאת והמדינה זקוקה לממשלה יציבה. אסור לנו בשום אופן לגרור את ישראל לבחירות חמישיות - צריך להקים ממשלה יציבה עכשיו. כל אפשרות אחרת תביא אותנו מהר או מהר יותר לבחירות חמישיות ואסור לנו ללכת לשם	iw	[]	[]	[]	5	14	185	[]	[]	https://twitter.com/netanyahu/status/1374521856565207044	False		0								[]				
1374521855042756612	1374521853079810052	2021-03-24 02:42:02 	2021-03-24	02:42:02	+0200	17061263	netanyahu	Benjamin Netanyahu		אפשר וצריך להקים ממשלה יציבה בישראל. ממשלה שהכלכלה שלנו מחייבת אותנו להקים. אני מושיט יד לכל חברות וחברי הכנסת שמאמינים בעקרונות הללו. אני מצפה מכולם לנהוג בדרך דומה כלפינו	iw	[]	[]	[]	3	15	178	[]	[]	https://twitter.com/netanyahu/status/1374521855042756612	False		0								[]				
1374521853079810052	1374521853079810052	2021-03-24 02:42:01 	2021-03-24	02:42:01	+0200	17061263	netanyahu	Benjamin Netanyahu		הערב הבאנו את הליכוד להיות המפלגה הגדולה בישראל בפער גדול מאוד. אנחנו בקידומת 3 והמפלגה הגדולה מאחורינו בקידומת 1. זהו הפער הגדול ביותר בין שתי מפלגות מובילות בישראל בעשרות השנים האחרונות	iw	[]	[]	[]	134	117	1352	[]	[]	https://twitter.com/netanyahu/status/1374521853079810052	False		0								[]				
1374473981391085572	1374473979805659137	2021-03-23 23:31:48 	2021-03-23	23:31:48	+0200	17061263	netanyahu	Benjamin Netanyahu		ברור שרוב מובהק מאזרחי ישראל הם ימנים, והם רוצים ממשלת ימין חזקה ויציבה שתשמור על כלכלת ישראל, ביטחון ישראל וארץ ישראל. זה מה שנעשה. אוהב אתכם!	iw	[]	[]	[]	88	152	1789	[]	[]	https://twitter.com/netanyahu/status/1374473981391085572	False		0								[]				
1374473979805659137	1374473979805659137	2021-03-23 23:31:47 	2021-03-23	23:31:47	+0200	17061263	netanyahu	Benjamin Netanyahu		אזרחי ישראל - תודה! הענקתם ניצחון ענק לימין ולליכוד בהנהגתי. הליכוד גדול בפער עצום מול המפלגה הבאה בגודלה  - אנחנו בקידומת 3 והבאים בקידומת 1 &gt;&gt;	iw	[]	[]	[]	505	376	3558	[]	[]	https://twitter.com/netanyahu/status/1374473979805659137	False		0								[]				
1374441774035312644	1374441774035312644	2021-03-23 21:23:49 	2021-03-23	21:23:49	+0200	17061263	netanyahu	Benjamin Netanyahu		עוד 2 מנדטים מנצחים — צאו להצביע מחל עכשיו! ✌️	iw	[]	[]	[]	121	191	1765	[]	[]	https://twitter.com/netanyahu/status/1374441774035312644	False		0								[]				
1374437385803460609	1374437385803460609	2021-03-23 21:06:23 	2021-03-23	21:06:23	+0200	17061263	netanyahu	Benjamin Netanyahu		שידור חירום !	iw	[]	[]	[]	45	71	590	[]	[]	https://twitter.com/netanyahu/status/1374437385803460609	False	https://twitter.com/netanyahu/status/1374437320519077897	0								[]				
1374437320519077897	1374437320519077897	2021-03-23 21:06:07 	2021-03-23	21:06:07	+0200	17061263	netanyahu	Benjamin Netanyahu		 https://t.co/YgZNVDhidK	und	[]	['https://twitter.com/i/broadcasts/1YqKDeLkbWkGV']	[]	63	135	807	[]	[]	https://twitter.com/netanyahu/status/1374437320519077897	False		0								[]				
